USER_ID,DATE,EXPERIMENT,GROUP,SALES
169902,7/1/23,AA_test,0,3.46
169906,7/1/23,AA_test,0,5.58
169913,7/1/23,AA_test,1,6.49
169914,7/1/23,AA_test,0,7.58
169917,7/1/23,AA_test,0,0.41
169919,7/1/23,AA_test,1,5.28
169942,7/1/23,AA_test,0,8.03
169951,7/1/23,AA_test,1,0.06
169952,7/1/23,AA_test,1,8.15
169955,7/1/23,AA_test,1,9.4
169973,7/1/23,AA_test,1,4.48
169974,7/1/23,AA_test,1,7.24
169975,7/1/23,AA_test,1,8.98
170005,7/1/23,AA_test,0,4.25
170008,7/1/23,AA_test,0,6.65
170011,7/1/23,AA_test,0,7.35
170012,7/1/23,AA_test,1,6.77
170023,7/1/23,AA_test,0,6.1
170050,7/1/23,AA_test,0,4.58
170052,7/1/23,AA_test,1,5.81
170058,7/1/23,AA_test,1,9.61
170064,7/1/23,AA_test,1,5.99
170066,7/1/23,AA_test,1,1.5
170067,7/1/23,AA_test,0,1.99
170075,7/1/23,AA_test,0,2.64
170078,7/1/23,AA_test,0,6.64
170079,7/1/23,AA_test,0,4.56
170084,7/1/23,AA_test,1,4.62
170088,7/1/23,AA_test,0,1.14
170102,7/1/23,AA_test,1,5.58
170105,7/1/23,AA_test,1,7.93
170107,7/1/23,AA_test,1,0.86
170108,7/1/23,AA_test,1,0.82
170114,7/1/23,AA_test,0,6.2
170128,7/1/23,AA_test,0,7.84
170132,7/1/23,AA_test,0,8.48
170137,7/1/23,AA_test,0,6.94
170139,7/1/23,AA_test,1,8.34
170140,7/1/23,AA_test,0,5.17
170143,7/1/23,AA_test,1,9.68
170145,7/1/23,AA_test,1,7.25
170151,7/1/23,AA_test,1,5.92
170153,7/1/23,AA_test,0,1.36
170159,7/1/23,AA_test,1,4.81
170161,7/1/23,AA_test,0,7.57
170162,7/1/23,AA_test,0,3.41
170165,7/1/23,AA_test,1,2.02
170166,7/1/23,AA_test,1,3.21
170167,7/1/23,AA_test,0,5.49
170170,7/1/23,AA_test,1,6.82
170182,7/1/23,AA_test,1,2.74
170185,7/1/23,AA_test,1,2.46
170186,7/1/23,AA_test,0,7.84
170194,7/1/23,AA_test,1,7.53
170214,7/1/23,AA_test,0,8.82
170215,7/1/23,AA_test,0,6.62
170225,7/1/23,AA_test,1,1.92
170227,7/1/23,AA_test,0,9.97
170231,7/1/23,AA_test,1,1.45
170233,7/1/23,AA_test,0,8.9
