USER_ID,DATE,EXPERIMENT,GROUP,SALES
15,2008/1/23,ab_test,0,6.07
356,2008/1/23,ab_test,0,6.43
630,2008/1/23,ab_test,0,4.89
892,2008/1/23,ab_test,0,6.98
1312,2008/1/23,ab_test,0,1.65
1813,2008/1/23,ab_test,0,5.4
2073,2008/1/23,ab_test,0,0.3
2455,2008/1/23,ab_test,0,6.99
2822,2008/1/23,ab_test,0,9.2
3185,2008/1/23,ab_test,0,2.41
3456,2008/1/23,ab_test,0,5.57
3775,2008/1/23,ab_test,0,9.64
4072,2008/1/23,ab_test,0,7.3
4472,2008/1/23,ab_test,0,9.05
4799,2008/1/23,ab_test,0,5.85
5048,2008/1/23,ab_test,0,3.73
5345,2008/1/23,ab_test,0,0.04
5722,2008/1/23,ab_test,0,7.26
6021,2008/1/23,ab_test,0,0.69
6313,2008/1/23,ab_test,0,8.58
6726,2008/1/23,ab_test,0,2.13
7042,2008/1/23,ab_test,0,0.11
7359,2008/1/23,ab_test,0,2.2
7631,2008/1/23,ab_test,0,5.56
7916,2008/1/23,ab_test,0,8.54
8247,2008/1/23,ab_test,0,3.07
8605,2008/1/23,ab_test,0,2.79
8870,2008/1/23,ab_test,0,2.05
9185,2008/1/23,ab_test,0,8.5
9533,2008/1/23,ab_test,0,2.01
9873,2008/1/23,ab_test,0,1.31
10183,2008/1/23,ab_test,0,3.92
10533,2008/1/23,ab_test,0,7.94
10761,2008/1/23,ab_test,0,6.41
11105,2008/1/23,ab_test,0,3.58
11466,2008/1/23,ab_test,0,7.97
11874,2008/1/23,ab_test,0,1.58
12210,2008/1/23,ab_test,0,6.24
12461,2008/1/23,ab_test,0,3.24
12794,2008/1/23,ab_test,0,3.59
13033,2008/1/23,ab_test,0,5.18
13347,2008/1/23,ab_test,0,4.26
13736,2008/1/23,ab_test,0,1.85
14064,2008/1/23,ab_test,0,4.43
14392,2008/1/23,ab_test,0,0.43
14641,2008/1/23,ab_test,0,3.26
14934,2008/1/23,ab_test,0,6.68
15237,2008/1/23,ab_test,0,2.53
15561,2008/1/23,ab_test,0,2.04
15950,2008/1/23,ab_test,0,6.2
16231,2008/1/23,ab_test,0,1.99
16597,2008/1/23,ab_test,0,6.45
16941,2008/1/23,ab_test,0,6.58
17138,2008/1/23,ab_test,0,7.08
17488,2008/1/23,ab_test,0,1.54
17815,2008/1/23,ab_test,0,3.67
18159,2008/1/23,ab_test,0,8.33
18436,2008/1/23,ab_test,0,2.87
18758,2008/1/23,ab_test,0,0.14
19019,2008/1/23,ab_test,0,1.98
19277,2008/1/23,ab_test,0,5.54
19642,2008/1/23,ab_test,0,6.58
19958,2008/1/23,ab_test,0,0.51
20309,2008/1/23,ab_test,0,6.56
20765,2008/1/23,ab_test,0,5.07
21121,2008/1/23,ab_test,0,5.39
21343,2008/1/23,ab_test,0,7.54
21650,2008/1/23,ab_test,0,4.47
21955,2008/1/23,ab_test,0,8
22222,2008/1/23,ab_test,0,5.27
22493,2008/1/23,ab_test,0,4.16
22847,2008/1/23,ab_test,0,5.51
23099,2008/1/23,ab_test,0,7
